expedition_id,route_id,expedition_start_date,max_climbers,current_climbers,guide_id,expedition_status,expedition_end_date
b9668978-b5ca-4748-9077-4dc9d6c9cb40,SOS-HIM,2023-10-04 13:14:47,39,24,44,Ongoing,2023-12-29 13:14:47
89d84653-053e-4a1f-85dd-71dc019bcad0,GPT-ALP,2023-10-04 13:14:47,38,8,49,Upcoming,2024-04-15 13:14:47
11fcb38a-64fe-458d-9c04-3fcdf2723e33,SA-ROC,2023-10-04 13:14:47,41,27,17,Completed,2023-12-15 13:14:47
d364d997-0235-400d-83b4-1e1ed9fa9b02,PP-APP,2023-10-05 13:14:47,27,22,14,Upcoming,2023-11-15 13:14:47
e42d0d2d-3a57-4801-8f17-6604d02f2efb,SA-ROC,2023-10-05 13:14:47,35,15,23,Completed,2024-01-03 13:14:47
138e39b8-85b8-42db-a6a5-d956e8e6e812,SOS-HIM,2023-10-05 13:14:47,23,23,1,Cancelled,2023-12-31 13:14:47
b6e8ca7d-8ec1-472d-b174-8432bfbcd6ab,OHT-ROC,2023-10-05 13:14:47,50,4,49,Upcoming,2023-10-16 13:14:47
efcee74e-f5e2-4ee4-a418-d5574d20c7c6,OR-ROC,2023-10-05 13:14:47,44,16,5,Upcoming,2024-01-04 13:14:47
74d063ef-9ee4-49c4-a38e-5e5257673d4b,GPT-ALP,2023-10-06 13:14:47,28,10,33,Cancelled,2023-12-27 13:14:47
68775a35-0acb-43a0-a5f3-a63252757f73,FPO-HIM,2023-10-06 13:14:47,20,6,43,Ongoing,2023-11-14 13:14:47
1efafa23-e268-4a77-a0da-e99f21f45bbf,FPO-HIM,2023-10-06 13:14:47,24,14,32,Completed,2023-10-08 13:14:47
923ab5bf-c039-4d98-86dc-d33b55624536,EP-HIM,2023-10-06 13:14:47,45,20,32,Cancelled,2024-04-09 13:14:47
a9e8503e-c6ae-4c72-8c8c-a62243adb407,OHT-ROC,2023-10-06 13:14:47,43,27,20,Ongoing,2023-11-03 13:14:47
b5fba41e-8b28-49cf-9c5e-839f19d262ca,OVA-CAS,2023-10-06 13:14:47,20,14,3,Completed,2024-01-19 13:14:47
768c00a7-e15d-43a8-b28f-648ad8e197ae,FPO-HIM,2023-10-06 13:14:47,37,15,30,Cancelled,2024-01-08 13:14:47
34a5fccd-4464-472b-b8b1-44fee8e8013a,TOTB-ROC,2023-10-06 13:14:47,25,0,29,Cancelled,2023-10-21 13:14:47
3354bb5d-53e4-4521-ad5d-be7e127a1f1d,EP-HIM,2023-10-06 13:14:47,49,37,37,Cancelled,2023-10-21 13:14:47
2877694e-b2ce-4d53-be99-55eecdb0e865,SOS-ALP,2023-10-06 13:14:47,35,21,19,Upcoming,2023-12-24 13:14:47
29690ebc-bc0f-432f-b768-93549466896b,SOS-ALP,2023-10-06 13:14:47,44,10,49,Ongoing,2023-10-21 13:14:47
de8c3fa2-7e39-4e80-b507-0558bdbf8d97,EP-HIM,2023-10-06 13:14:47,46,45,32,Cancelled,2024-02-29 13:14:47
c4145b15-16b3-4532-9ef5-6fd6e84ebef0,GPT-ALP,2023-10-06 13:14:47,39,13,38,Upcoming,2023-12-14 13:14:47
b6ed0aeb-8821-45d7-b92b-91ea35baf0b1,EP-ALP,2023-10-06 13:14:47,28,22,2,Upcoming,2023-11-28 13:14:47
a0a1280b-ce6f-455f-a45b-c839925d6a80,TOTB-ROC,2023-10-06 13:14:47,26,23,13,Ongoing,2024-01-10 13:14:47
e8759faf-e41f-4278-894f-23499bd4da73,GPT-ALP,2023-10-06 13:14:47,20,7,13,Upcoming,2023-12-18 13:14:47
b95cef44-6b98-4e14-8bf4-aba923df539b,SA-ROC,2023-10-06 13:14:47,28,5,1,Cancelled,2023-11-16 13:14:47
9ce41879-d3b1-479d-87bc-e84778ef278b,SOS-ALP,2023-10-06 13:14:47,27,24,6,Upcoming,2024-02-17 13:14:47
bca3e80d-07d6-455d-bad5-11817f6571ca,EP-HIM,2023-10-06 13:14:47,29,12,28,Upcoming,2024-03-02 13:14:47
dcb4ef96-5b9a-431f-b792-19cb7759738a,EP-ALP,2023-10-06 13:14:47,49,8,35,Ongoing,2023-11-22 13:14:47
284a74fe-b89f-452d-88b2-0ee54f5ea076,OVA-CAS,2023-10-07 13:14:47,25,21,41,Ongoing,2023-12-18 13:14:47
26ea0482-3c6d-4324-ac4f-d197e212ccc6,EP-HIM,2023-10-07 13:14:47,37,6,2,Upcoming,2023-12-12 13:14:47
f018c700-5266-44a3-aafa-800969e98756,TOTB-ROC,2023-10-07 13:14:47,25,9,23,Cancelled,2023-10-31 13:14:47
4b6b9653-af80-477d-9cb1-e8c23dd56de6,SOL-AND,2023-10-07 13:14:47,38,24,9,Ongoing,2023-11-23 13:14:47
487b9532-c566-4cc9-9c87-faab7ae6af67,OR-ROC,2023-10-07 13:14:47,27,3,21,Ongoing,2023-10-18 13:14:47
acf28aaf-cdb7-49e3-ae67-d6e7d1672c73,SOS-HIM,2023-10-07 13:14:47,48,26,39,Ongoing,2023-11-25 13:14:47
e449b362-eb71-4474-9b84-3a9049a85d82,EP-ALP,2023-10-07 13:14:47,48,16,11,Upcoming,2023-12-05 13:14:47
ebcc8fb1-f9ca-43a8-a45b-1694bef0befb,FPO-HIM,2023-10-07 13:14:47,24,6,49,Completed,2023-10-29 13:14:47
1da268ee-6f43-4a35-95c9-7214034338f6,SA-ROC,2023-10-07 13:14:47,47,28,2,Completed,2023-12-23 13:14:47
62a4fc01-6264-46a7-918f-23f81a126efb,SOL-AND,2023-10-07 13:14:47,48,19,13,Completed,2023-12-27 13:14:47
d130d9b8-98d1-4e58-9824-31d7f1f25fda,FPO-HIM,2023-10-07 13:14:47,23,13,23,Completed,2024-03-27 13:14:47
0517a344-cdd8-45f8-8c70-7562c5b57072,SA-ROC,2023-10-07 13:14:47,27,12,8,Upcoming,2023-11-12 13:14:47
2a255091-384e-4537-8bf9-e07c3dedadab,EP-HIM,2023-10-07 13:14:47,47,14,16,Cancelled,2024-01-04 13:14:47
fae5d3eb-85c1-4013-a778-0d1b40ebca62,EP-HIM,2023-10-08 13:14:47,39,3,13,Ongoing,2023-11-25 13:14:47
9ac16a45-cd04-4288-b57b-5ff7606f6cc1,PP-APP,2023-10-08 13:14:47,46,27,4,Completed,2023-11-08 13:14:47
dc4ae8cb-c991-460a-8f3d-c881cc600e66,OVA-CAS,2023-10-08 13:14:47,48,26,32,Cancelled,2024-03-15 13:14:47
117de71b-7196-47e7-ac63-5b1f29d28d53,SOL-AND,2023-10-08 13:14:47,46,25,28,Cancelled,2024-03-02 13:14:47
3c821c28-24d3-4419-8c9f-71db424b162a,AG-AND,2023-10-08 13:14:47,41,6,32,Cancelled,2024-02-21 13:14:47
