financial_id,expedition_id,total_revenue,total_cost,profit_margin
28cf4e52-1c3b-441c-8445-5951277cb388,e6960871-adfd-420a-b0e5-da4dc44c9668,5292.11,2183.23,58.75
104c92f4-94a6-46bc-9a29-36c4c24fc11b,a4f7d642-eae2-4686-bfaf-338093085a27,3810.02,1836.2,51.81
9fb1d436-cf53-471f-9bdb-f130f2437e04,d0067553-4e35-4a5f-9c84-3a474084b050,6820.82,2866.59,57.97
51eec69b-6826-41ec-99d3-24548194e6b5,90d50477-e300-4f0c-af91-57369b8effe7,5524.12,5576.57,-0.95
40771d5e-cdb9-4d54-adfe-81642fdc3b37,1c475cd1-83ba-47a6-a0cf-f6d68784a394,4946.74,2041.68,58.73
78796a1e-d785-46d5-99c5-24853a525cab,d56f0c2d-d2c0-4a39-829e-44f72f0e0568,14293.2,12462.91,12.81
37a78a0a-be95-4594-be42-6614dc34e142,30197077-a05f-4f7b-868d-82f202dbfec7,5850.42,4769.77,18.47
44c12900-7ba6-4ad0-901d-b0b72588aad9,dffc8ab8-82fb-4bdf-b7da-ad1f428eebf0,3123.44,3902.71,-24.95
25c8f343-095f-4bb3-bf31-16b1016277ee,1dd4fb2c-7ed6-4cdf-b8af-ded9964bb93e,6267.7,2588.76,58.7
d0a95324-53ab-4486-9c65-e3b61b80c658,0bc489a8-c146-4147-bce5-17435de3ad98,7268.05,3905.31,46.27
bc7ee190-db2c-4af0-b93c-2b0fbde40382,ccb7ebd2-6bf5-4be2-977c-2f0d0327e738,4530.5,1831.53,59.57
156902c3-0477-41d1-83ce-d245b06a598c,8c2e610b-9f4b-4080-9cca-a109e921dc0e,1700.68,1663.35,2.2
0961b70d-7391-45e5-a42f-992ef7bbc713,650d9fae-8462-4b43-8792-3c1e67ce486a,5772.93,4911.91,14.91
3403e8a1-fc93-46d5-845f-57e25252a41f,d223579d-d9b5-4f1f-ad2c-6b10f6bcd1bc,14709.08,9805.28,33.34
0957a39a-2e4d-4604-8f49-6e1875b36549,e5fdfa8b-6774-4e04-97f2-760158a276c6,13963.83,6345.63,54.56
2fd3624f-c046-4630-92d8-75474b132056,ce6f737e-896e-4845-ac51-00e3100537ec,1857.78,822.3,55.74
d0134775-5958-48f9-8162-d8d82c58fd80,806da17e-cbc5-4005-b8cb-3a2aad7f5adf,6181.07,2868.53,53.59
bf2b38ad-2198-4ed7-a538-d77ccd2f8a5f,9f1b1658-0311-46f3-8e62-21d732a52f57,7139.07,3029.38,57.57
6ff8cfff-80e6-439f-b6aa-2a1a63ae2e3e,f976a075-2de7-4334-8253-a52250779668,2272.16,1146.41,49.55
3122c1fb-1879-4772-8f64-de6ed9988ed2,43575fb5-efaa-49d1-ab98-0f342194688f,2110.86,903.45,57.2
24364f39-7fad-4923-bc2d-70ed749fa6bc,9331ad18-2f13-4e76-b3a9-208445bb85d8,14184.43,6003.41,57.68
8b14713d-ea0f-44a2-9fd6-13c88fe3f01d,f8cce465-f344-4cb0-b2fc-b3fca7a88d4f,7246.63,3086.3,57.41
ccdd5220-6379-46fc-a822-63be8fbe7ae5,965575c3-109d-4fcf-8c41-f375e976587f,5409.96,4468.44,17.4
2f5e91cc-223c-4eea-a95a-98bd6190028c,4450d252-18f4-4b69-8023-af4da2c54a2d,3298.39,1671.62,49.32
8300b0cd-d6e9-4d25-b135-1e9d5cbae608,67707eaa-5b11-45a2-94e3-808595d2a41b,8136.52,6453.45,20.69
18af3223-33c4-47b6-831a-0b509d3c931f,3c30f874-1ae0-4625-9b16-293e92ddedc6,6101.32,2401.01,60.65
18fb6323-78c2-4573-94be-ffbf5578f2f2,2d9d0201-4192-461a-bc1b-e9fa3d3af232,4650.03,3291.28,29.22
98588a92-cdfb-416d-a586-28ed47588ed8,3e007767-9872-4ca5-9823-d401bff77bff,5308.94,2253.41,57.55
780bf52e-7865-4c3d-aebc-60d191afd93d,e0b626e1-4e5b-4abc-8b1c-1033d9f8623d,7436.83,6784.22,8.78
6d2069b5-4314-4b0d-8eea-1a17d1765754,1862aa08-e058-4c86-9951-1ec0aa593790,4981.46,3604.06,27.65
1f944c47-56e9-4630-9b49-74d48ef97a09,c958a166-69df-46b1-8bca-444b72f7fa17,1672.25,775.0,53.66
275b6628-d332-425c-b855-c5182c87e7fd,57c59502-4c42-473c-b8ce-a6d8b2f56348,4364.01,2170.95,50.25
18b5b3ce-9e09-42d5-a09d-102e57663aec,a8084a91-f518-4a56-b304-286f574d2e6a,3248.69,3574.84,-10.04
7b864521-82bf-415d-8d4e-faaf4e55bf54,8c70cfd2-312e-4674-b724-850f98558754,16513.36,11523.27,30.22
17597d9b-e3a7-4539-9746-36b6d150b227,0b33a667-39e3-4bf3-827c-a4111f838171,4996.56,3018.9,39.58
cc2290d8-187f-4e26-9617-6010518f8a04,1e76e3d7-adf1-4316-a6f7-234bc08ca5df,3967.36,1172.45,70.45
c20aca98-ca5b-4d21-b14b-c695a8683db6,9dd7176d-830a-4a00-8f9f-5193f588b9fe,2494.33,2342.56,6.08
85c7a7bd-e94b-465d-8212-263dd0b9d1c6,66a4bc0e-80f0-4ae3-99aa-936fae227ad3,1329.77,701.47,47.25
6026963f-f561-4e4b-a964-4440cfb75e50,bf06c835-6071-46cf-9457-92872db59b2f,3917.96,3872.99,1.15
3ca13daa-98f9-4701-a041-d241b74e3d26,1975dc08-3966-43e7-b953-eb20b12b0422,1977.59,1177.94,40.44
10b577ac-fdc2-4a9e-bbc6-365e671f5d3e,360f8f2b-334e-4379-b5e7-0a2da4063088,4938.22,4683.48,5.16
0d4c4e66-e20f-43d3-a4d7-91e45b08a2cc,f6e64e81-f2b7-4249-abe2-87b6860c71a3,6979.42,4722.08,32.34
e9f54748-b62d-4cdd-907b-a9ad5492c224,21a02299-8612-41a1-9484-529df88374b9,6152.46,3725.13,39.45
0505e9a8-dbf8-429f-a218-0ca94fdea43f,ba2ab64e-8f3d-4049-8131-9ac837cbc641,2728.57,1395.9,48.84
a3c2a5e8-9039-4c92-98a1-ea987d089662,e942e42e-2ca7-418f-9dd8-da5b4aeaf1d0,13199.28,10686.48,19.04
4392f177-19a3-431c-911f-1f34c1efcf4f,673cac07-0e5d-4cfe-945e-5c02a645660b,14927.94,12610.28,15.53
76a575ae-0c1e-4df9-aeec-d50d597259ad,35bb3dc1-87a8-41fb-abb2-8661ae536b02,2958.84,2154.96,27.17
258bd71a-488f-4a6e-954a-246d667fd0ca,00c0aaf3-b9e0-45c5-920b-b80329612964,9757.74,3479.46,64.34
5cd94403-d3c5-4366-8379-53b3cfc72a2b,9b9ed61e-97f9-4147-af6a-1a8330a93460,5442.91,4052.23,25.55
93e42a7f-e0b1-4bbd-b5b6-a42c79e45fe7,ce3375ef-7c3b-406f-96e0-a692909fa67d,7121.06,7915.76,-11.16
641b02c8-5b14-458f-a789-12873d7ff210,f3df317b-6c8f-4878-b729-88675c73e87f,6622.74,4955.05,25.18
72c59423-ddca-46cd-9ea9-b619f73af03f,83497cb9-cf0f-4a1d-80b9-0fa3d784bbc2,9348.82,7374.67,21.12
69f1bea8-3b4f-4863-90b8-d8b6bb967d11,4cb65db6-bf8d-43a3-811c-6e831523272a,3828.11,3891.01,-1.64
b3fd0882-fbf5-4ae4-98d0-052d9d14f5a8,0e2b87b1-90d5-4efa-b867-0224dc794fef,11063.52,8942.12,19.17
06078e3d-366c-46b0-988e-0a15e32da60b,c480dee0-a877-439c-a466-8bdb6f72fa79,3429.81,3932.77,-14.66
254cfec5-2ba2-4c3f-97d5-105017077f48,be7680c7-ad3b-468a-afa3-f394e75ec4dd,13403.03,12025.03,10.28
16c2cae1-f9fe-4772-b312-0eec1a21a57b,cda3833e-0bbc-47d8-a036-0ca40444a75b,1370.37,665.61,51.43
0af56785-0f79-4b1a-93c9-9ab0f8c29743,0a383d90-932f-49c6-877b-7f5d43bf638d,6454.05,4551.09,29.48
5fc4fc56-9450-49d4-b728-4344ebf9aa14,315c68ff-5895-4e28-a631-fa9f25c4cdd1,2502.12,2145.23,14.26
e26b2697-337d-44a1-9297-d4caaee824e3,cd878b21-8126-495c-bd4e-8bb12ee8bed9,4183.97,2318.18,44.59
c8a04c00-efda-4178-91c1-0a1608c4ef15,96a5825f-abfa-4ccd-b842-487a26a94e6d,11308.35,8482.31,24.99
b749d642-7dd5-4560-8b8b-107e3f064a1e,8901281a-0b94-45b9-9a29-f9d00aca216e,7546.58,4380.27,41.96
7043e46a-e8f2-4d77-b737-24e8c6e4e6f2,267e2676-9e62-4ffe-bee1-b5132f7b062e,9656.19,6445.08,33.25
fd107ed1-a0ee-4da6-beee-81671e67298b,b88bf2ae-425f-41c8-ab43-54d90e19f650,6123.56,8663.58,-41.48
072666b1-62fd-4a8c-82d3-21020526d3ff,31531ac6-3a9e-4c23-a6d3-c90596bb64b9,5390.32,4494.05,16.63
0a45e6a5-fbaa-47aa-8b23-dfcfb538cf57,e2b037e1-8a6f-4a27-a426-5030eed14e56,5263.44,3036.32,42.31
3c453488-f2f3-432d-89f7-8a857d63c072,75782691-01fc-4405-add3-795faabac9e7,19127.18,14137.87,26.08
